2021-12-08 14:18:53.463 INFO  [4600] [enter@14] Input: 5
2021-12-08 14:20:01.866 INFO  [13024] [main@45] Random Number: 11
2021-12-08 14:20:01.869 INFO  [13024] [main@48] Value: 12
2021-12-08 14:20:02.026 INFO  [13024] [main@45] Random Number: 23
2021-12-08 14:20:02.029 INFO  [13024] [main@48] Value: 25
2021-12-08 14:20:02.186 INFO  [13024] [main@45] Random Number: 6
2021-12-08 14:20:02.188 INFO  [13024] [main@48] Value: 7
2021-12-08 14:20:02.354 INFO  [13024] [main@45] Random Number: 13
2021-12-08 14:20:02.357 INFO  [13024] [main@48] Value: 16
2021-12-08 14:20:02.514 INFO  [13024] [main@45] Random Number: 7
2021-12-08 14:20:02.516 INFO  [13024] [main@48] Value: 9
2021-12-08 14:20:02.682 INFO  [13024] [main@45] Random Number: 24
2021-12-08 14:20:02.685 INFO  [13024] [main@48] Value: 30
2021-12-08 14:20:02.850 INFO  [13024] [main@45] Random Number: 6
2021-12-08 14:20:02.853 INFO  [13024] [main@48] Value: 8
2021-12-08 14:20:03.010 INFO  [13024] [main@45] Random Number: 10
2021-12-08 14:20:03.012 INFO  [13024] [main@48] Value: 15
2021-12-08 14:20:03.178 INFO  [13024] [main@45] Random Number: 12
2021-12-08 14:20:03.179 INFO  [13024] [main@48] Value: 19
2021-12-08 14:20:03.338 INFO  [13024] [main@45] Random Number: 20
2021-12-08 14:20:03.341 INFO  [13024] [main@48] Value: 29
2021-12-08 14:20:03.490 INFO  [13024] [main@45] Random Number: 5
2021-12-08 14:20:03.492 INFO  [13024] [main@48] Value: 6
2021-12-08 14:20:03.642 INFO  [13024] [main@45] Random Number: 6
2021-12-08 14:20:03.645 INFO  [13024] [main@48] Value: 11
2021-12-08 14:20:03.794 INFO  [13024] [main@45] Random Number: 7
2021-12-08 14:20:03.797 INFO  [13024] [main@48] Value: 14
2021-12-08 14:20:03.963 INFO  [13024] [main@45] Random Number: 14
2021-12-08 14:20:03.968 INFO  [13024] [main@48] Value: 26
2021-12-08 14:20:04.130 INFO  [13024] [main@45] Random Number: 9
2021-12-08 14:20:04.133 INFO  [13024] [main@48] Value: 20
2021-12-08 14:20:04.298 INFO  [13024] [main@45] Random Number: 11
2021-12-08 14:20:04.301 INFO  [13024] [main@48] Value: 23
2021-12-08 14:20:04.466 INFO  [13024] [main@45] Random Number: 13
2021-12-08 14:20:04.469 INFO  [13024] [main@48] Value: 28
2021-12-08 14:20:05.122 INFO  [13024] [main@45] Random Number: 8
2021-12-08 14:20:05.125 INFO  [13024] [main@48] Value: 18
2021-12-08 14:20:05.394 INFO  [13024] [main@45] Random Number: 3
2021-12-08 14:20:05.397 INFO  [13024] [main@48] Value: 4
2021-12-08 14:20:05.706 INFO  [13024] [main@45] Random Number: 2
2021-12-08 14:20:05.709 INFO  [13024] [main@48] Value: 3
2021-12-08 14:20:06.282 INFO  [13024] [main@45] Random Number: 1
2021-12-08 14:20:06.284 INFO  [13024] [main@48] Value: 2
2021-12-08 14:20:06.826 INFO  [13024] [main@45] Random Number: 6
2021-12-08 14:20:06.829 INFO  [13024] [main@48] Value: 22
2021-12-08 14:20:07.514 INFO  [13024] [main@45] Random Number: 6
2021-12-08 14:20:07.517 INFO  [13024] [main@48] Value: 24
2021-12-08 14:20:08.054 INFO  [13024] [main@45] Random Number: 6
2021-12-08 14:20:08.064 INFO  [13024] [main@48] Value: 27
2021-12-08 14:20:08.658 INFO  [13024] [main@45] Random Number: 4
2021-12-08 14:20:08.661 INFO  [13024] [main@48] Value: 17
2021-12-08 14:20:09.314 INFO  [13024] [main@45] Random Number: 2
2021-12-08 14:20:09.317 INFO  [13024] [main@48] Value: 10
2021-12-08 14:20:10.066 INFO  [13024] [main@45] Random Number: 1
2021-12-08 14:20:10.068 INFO  [13024] [main@48] Value: 5
2021-12-08 14:20:11.346 INFO  [13024] [main@45] Random Number: 2
2021-12-08 14:20:11.349 INFO  [13024] [main@48] Value: 21
2021-12-08 14:20:12.082 INFO  [13024] [main@45] Random Number: 0
2021-12-08 14:20:12.084 INFO  [13024] [main@48] Value: 1
2021-12-08 14:20:12.714 INFO  [13024] [main@45] Random Number: 0
2021-12-08 14:20:12.717 INFO  [13024] [main@48] Value: 13
